id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,price_bucket,minimum_nights,number_of_reviews,reviews_per_month,last_review,value_score,calculated_host_listings_count,is_power_host,availability_365,occupancy_pct
2539,Clean & quiet apt home by the park,2787,John,Brooklyn,Kensington,40.64749,-73.97237,Private room,149,Mid ($75-149),1,9,0.21,2018-10-19,0.06,6,No,365,0.0
2595,Skylit Midtown Castle,2845,Jennifer,Manhattan,Midtown,40.75362,-73.98377,Entire home/apt,225,Premium ($150-299),1,45,0.38,2019-05-21,0.2,2,No,355,2.7
3647,THE VILLAGE OF HARLEM....NEW YORK !,4632,Elisabeth,Manhattan,Harlem,40.80902,-73.9419,Private room,150,Premium ($150-299),3,0,0.0,No reviews yet,0.0,1,No,365,0.0
3831,Cozy Entire Floor of Brownstone,4869,LisaRoxanne,Brooklyn,Clinton Hill,40.68514,-73.95976,Entire home/apt,89,Mid ($75-149),1,270,4.64,2019-07-05,3.034,1,No,194,46.8
5022,Entire Apt: Spacious Studio/Loft by central park,7192,Laura,Manhattan,East Harlem,40.79851,-73.94399,Entire home/apt,80,Mid ($75-149),10,9,0.1,2018-11-19,0.112,1,No,0,100.0
5099,Large Cozy 1 BR Apartment In Midtown East,7322,Chris,Manhattan,Murray Hill,40.74767,-73.975,Entire home/apt,200,Premium ($150-299),3,74,0.59,2019-06-22,0.37,1,No,129,64.7
5121,BlissArtsSpace!,7356,Garon,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,Private room,60,Budget (<$75),45,49,0.4,2017-10-05,0.817,1,No,0,100.0
5178,Large Furnished Room Near B'way ,8967,Shunichi,Manhattan,Hell's Kitchen,40.76489,-73.98493,Private room,79,Mid ($75-149),2,430,3.47,2019-06-24,5.443,1,No,220,39.7
5203,Cozy Clean Guest Room - Family Apt,7490,MaryEllen,Manhattan,Upper West Side,40.80178,-73.96723,Private room,79,Mid ($75-149),2,118,0.99,2017-07-21,1.494,1,No,0,100.0
5238,Cute & Cozy Lower East Side 1 bdrm,7549,Ben,Manhattan,Chinatown,40.71344,-73.99037,Entire home/apt,150,Premium ($150-299),1,160,1.33,2019-06-09,1.067,4,Yes,188,48.5
5295,Beautiful 1br on Upper West Side,7702,Lena,Manhattan,Upper West Side,40.80316,-73.96545,Entire home/apt,135,Mid ($75-149),5,53,0.43,2019-06-22,0.393,1,No,6,98.4
5441,Central Manhattan/near Broadway,7989,Kate,Manhattan,Hell's Kitchen,40.76076,-73.98867,Private room,85,Mid ($75-149),2,188,1.5,2019-06-23,2.212,1,No,39,89.3
5803,"Lovely Room 1, Garden, Best Area, Legal rental",9744,Laurie,Brooklyn,South Slope,40.66829,-73.98779,Private room,89,Mid ($75-149),4,167,1.34,2019-06-24,1.876,3,Yes,314,14.0
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,11528,Claudio,Manhattan,Upper West Side,40.79826,-73.96113,Private room,85,Mid ($75-149),2,113,0.91,2019-07-05,1.329,1,No,333,8.8
6090,West Village Nest - Superhost,11975,Alina,Manhattan,West Village,40.7353,-74.00525,Entire home/apt,120,Mid ($75-149),90,27,0.22,2018-10-31,0.225,1,No,0,100.0
